,tr,TrialType,ChoicePred,ChoiceProb,ChoiceUtil,util_gamble,util_safe,p_gamble,p_safe,SafeBet,HighBet,LowBet
131,131,mix,safe,0.5220034220410152,0.0,-0.017614114022214356,0.0,0.47799657795898476,0.5220034220410152,0.0,0.2,-0.3
132,132,gain,safe,0.8992239871156927,0.9330329915368074,0.4953066325477054,0.9330329915368074,0.10077601288430721,0.8992239871156927,0.5,0.91,0.0
133,133,gain,safe,0.8956026530666023,0.9502002165056764,0.5203416996168309,0.9502002165056764,0.10439734693339776,0.8956026530666023,0.6,1.49,0.0
134,134,gain,gamble,0.1268506780480176,0.5266243456501635,0.5266243456501635,0.9124435365554808,0.1268506780480176,0.8731493219519824,0.4,1.68,0.0
135,135,loss,gamble,0.8842926970185592,-0.5056986643807828,-0.5056986643807828,-0.9124435365554808,0.8842926970185592,0.11570730298144086,-0.4,0.0,-1.12
136,136,mix,safe,0.5927171345499074,0.0,-0.07504186650840677,0.0,0.4072828654500926,0.5927171345499074,0.0,0.22,-1.1
137,137,mix,gamble,0.48835655472060485,-0.00931644050463476,-0.00931644050463476,0.0,0.48835655472060485,0.5116434452793951,0.0,0.66,-0.8
138,138,loss,gamble,0.8889060907538414,-0.5171098470646901,-0.5171098470646901,-0.9330329915368074,0.8889060907538414,0.11109390924615856,-0.5,0.0,-1.4
139,139,loss,safe,0.10292259435344661,-0.9330329915368074,-0.5,-0.9330329915368074,0.8970774056465534,0.10292259435344661,-0.5,0.0,-1.0
140,140,gain,safe,0.8815295553197816,0.8865681505652133,0.48516914811917244,0.8865681505652133,0.11847044468021839,0.8815295553197816,0.3,0.74,0.0
141,141,loss,gamble,0.8626517427929867,-0.48384165385207406,-0.48384165385207406,-0.8513399225207846,0.8626517427929867,0.13734825720701319,-0.2,0.0,-0.72
142,142,loss,gamble,0.8866872077248383,-0.4751001082528382,-0.4751001082528382,-0.8865681505652133,0.8866872077248383,0.11331279227516168,-0.3,0.0,-0.6
143,143,loss,gamble,0.8679305783228606,-0.5358867312681466,-0.5358867312681466,-0.9124435365554808,0.8679305783228606,0.13206942167713945,-0.4,0.0,-2.0
144,144,mix,gamble,0.4874667981063923,-0.010028662285336276,-0.010028662285336276,0.0,0.4874667981063923,0.5125332018936076,0.0,0.9,-1.1
145,145,gain,gamble,0.1033671929796355,0.48037177807682013,0.48037177807682013,0.9124435365554808,0.1033671929796355,0.8966328070203645,0.4,0.67,0.0
146,146,mix,safe,0.5550231059558572,0.0,-0.04419747758217352,0.0,0.44497689404414276,0.5550231059558572,0.0,0.44,-1.1
147,147,loss,gamble,0.8966328070203645,-0.48037177807682013,-0.48037177807682013,-0.9124435365554808,0.8966328070203645,0.1033671929796355,-0.4,0.0,-0.67
148,148,loss,gamble,0.8956026530666023,-0.5203416996168309,-0.5203416996168309,-0.9502002165056764,0.8956026530666023,0.10439734693339778,-0.6,0.0,-1.49
149,149,gain,safe,0.8926288505090842,0.9502002165056764,0.5266243456501635,0.9502002165056764,0.10737114949091575,0.8926288505090842,0.6,1.68,0.0
